Your Name,Concept Title,Description,Cluster Title,
Phyllis,Home Assistant,"Hardwired tablet in every housing unit to display notifications, reminders, etc.",Comfort,
Phyllis,Micro-Sustainability Solutions,"Easy compost chute, rainwater recycling, community garden, etc. instead of large, ambitious efforts towards sustainability,",Sustainability,
Phyllis,Horseshoe-Shaped Complex,Horseshoe shaped apartment complex that allows each unit to receive ample amounts of sunlight.,Comfort,
Phyllis,Inward Slanting Roofs,Directs rainwater runoff into central garden and waters greenery.,Sustainability,
Phyllis,Community Cafe,"A cafe that uses produce from the community garden to provide cheap, and healthy food.",Comfort/Sustainability,
Phyllis,Modular Appliances,Appliances that can be detached from walls and moved around to convert ex. a living room into a kitchen.,Space saving,
Phyllis,Paperless Living System,"No checks, no paper notifications, digital menu at community cafe, etc.",Sustainability,
Phyllis,Malleable Walls,"Walls that can be shaped, bent and pulled. (To change the layout of a home quickly.)",Space saving,
Phyllis,On-site Recycling Center,Makes it easier for people to recycle.,Sustainability,
Phyllis,Recycled Furniture Center,Takes furniture that residents don't want and refashions them into communal furniture.,Sustainability,
Phyllis,Community Garden,"Garden that provides produce to the cafe, or subsidized produce that residents can buy.",Sustainability,
James,Automatic Power Saver,Automatically turns off lights and shuts off power to appliances when not in use,Economy/Sustainability,
James ,Tinted Windows,"Windows change tint to allow more or less sunlight, reducing heating and cooling costs",Economy,
James,Community Gym,Exercise bikes and treadmills produce electricity for community,Economy/Sustainability,
James ,On-site Water Treatment,"Water is reused for the same purpose, i.e. toilet water is treated and reused for toilet water, same with laundry",Economy/Sustainability,
James,Noise Canceling Walls,Produce white noise/noise canceling that allows everyone to sleep in peace,Comfort,
James,Energy Generation Floor Tiles,Energy generating floor tiles installed in the floor supplement energy needs,Economy/Sustainability,
James,Energy Use App Feature,"Lets you compare energy use with other residents, see which outlets are using the most electricity",Economy/Sustainability,
James,Community-wide Free Wifi,Community provided wifi free to use for residents,Economy,
James,Community Storage Room,Spaces rented out to community residents that solves storage problems for those with many belongings,Space saving,
James,Laundry Included in Rent,Free laundry services eliminates frustration of finding quarters for coin laundry,Economy,
Islam,Vacuum storage compartments,Storing spaces that can hold clothes then suck air to save space by keeping it as compact as possible.,Space saving,
Islam,Heat storing windows,"In winter, windows get heated by sun during day, then release the heat at night to save energy.",Economy/Sustainability,
Islam,Power generating taps,Water taps and shower sinks can have small water turbines which when connected to generators can produce a fraction of needed power.,Economy/Sustainability,
Islam,Porous walls,Walls can be made porous to allow for air renewal when it is too cold to ope windows.,Economy/Sustainability,
Islam,Multi-input generator,Doors and windows can be mechanically connected to a generator that will generate energy every time they are opened or closed.,Economy/Sustainability,
Islam,Wheelchair ramp door,Doors can be designed to open downwards and act as ramps for disabled wheelchairs.,Comfort,
Islam,Under-floor bed,Bed can be installed beneath the floor with a sliding opening that can carry other furniture when closed.,Space saving,
Islam,Furniture railway,The ground can have railway to facilitate motion of furniture especially that the place would be compact.,Comfort,
Islam,Multi-level desks,Desks can be set on top of each other to save horizontal space.,Space saving,
Islam,Furniture carrying walls,Walls can have hanging spots to hang whichever small piece of furniture that is not in current use.,Space saving,
Andy,Smart Refrigerator ,Refrigerator that changes its temperature based on how many and what type of items in it to save energy. ,Economy/Sustainability,
Andy,Smart Faucet ,Faucet that controls amount of water flowing through based on what type of usage. ,Economy/Sustainability,
Andy,Transformable Furniture ,Furniture that has multi functions. ,Space saving,
Andy,Recycled Wall,"For non-structural framework, use recycled materials. ",Economy/Sustainability,
Andy,Smart Light on Rail,Light system that travels on rail and adjusts itself for optimal lighting in the room to minimize amount of lighting needed in the room.,Economy/Sustainability,
Andy,Automated Sound Assistant ,Sound assistant that helps people with visual disability with their way around the house. ,Comfort,
Andy,Movable Electric Generating Hand Rail,Movable hand rail that assist elders with their way around the house while generating power through its movement. ,Economy/Sustainability,
Andy,Furnitures On Wheel,Furnitures that have wheels on the bottom for wheelchair users to move them with ease. ,Comfort,
Andy,Trash Burner Generator,On-site burner that burns trash and generate power for the heat. ,Economy/Sustainability,
Andy,Vacuum Wall,Vacuum installed at the bottom of each wall that sucks up the dust daily.,Comfort,
