Member,Concept Name,Description,Category
,Tensegrity virtual reality immersion,VR goggles and interface to control tensegrity robot,BEST Reality
,Tensegrity Assistant,Use robot as personal assistant (i.e. reminds you about meetings),Personal Assistant
,Tensegrity Watchdog,Tensegrity can patrol your house to make sure everything is in order - will send alarm if it detects an intruder,Personal Assistant
,Tensegrity Cars,Drive around in your tensegrity,Tensportation
,Tensegri-Gestures,Robot controlled by hand gestures,BEST Interaction
,Game Controller,"Robot controlled by everyday game controller (i.e. Xbox, Play Station, etc.)",BEST Interaction
,Voice Controller,Robot controlled by voice commands,BEST Interaction
,BattleBots,Tensegrity battle-bots,BEST Competitions
,Light-segrity,Lights in tensegrity bars light up in the dark and when robot moves,Tensilights
,Data acquisition from robot,"Bluetooth/wifi allows you to gather information from sensors on robot directly to computer (i.e. camera, speed, voltage, etc.)",Intellisegrity
,Modular Tensegrity,Robot has supports and adaptors for different sensors and features - you can put whatever you want in your robot and make any shape,Tensishapes
,Tensegrity Robot Bowling,Control robot as it goes down the lane,Best Competitions
,Tensegrity Robot Shaker,Shakes thai tea or alcohol drinks,Personal Assistant
,Tensegrity Robot Clothes Drying Rack,Robot can move to make other clothes get in sun,Tensegri-Home
,Tensegrity Robot Wheels,Replace wheels of bikes/cars,Tensportation
,Pathfinder,Multiple robots explore terrain to guide your path while exploring,Personal Assistant
,Twister Sensor Ball,Throw robot in tornado - will collect data,Research & Science
,Tensegrity Robot Pet Companion,Play with your dog while you are away,Personal Assistant
,Tensegrity Robot Luggage Case,Robot (luggage) walks with you,Personal Assistant
,Tensegrity Robot Ships,Motion in the water is faster using tensegrity robots,Tensportation
,Aesthetics Are Key,Robot encapsulated in deformable material with customizable color,Tenshishapes
,Teacher's Guide to Tensegrity,Pre-made lesson plans for teachers,Research & Science
,Tensegrity Drone,Propellers attached to main bars convert robot into drone,Tensportation
,Tensegrity Helping Hand,Robot can carry things to you around the house (i.e. coke),Personal Assistant
,Tensegrity Submarine,"Waterproof robot, can play with underwater - at the pool",Tensportation
,DesignYourRobot.com,"Design your robot on line (shape, size, color) before buying",Website
,Self Charging Robot,Robot knows it is running out of battery and rolls onto charging mat,Intellisegrity
,Tensegrity Dodge Balls,Play dodgeball with tensegrity robots,Best Competitions
,Tensegrity Bowflex,Use tensegrity as a workout tool,Personal Assistant
,Tensegrity Chess Kit,Pieces move based on user's commands,Best Competitions
,Tensegrity Crash Airbags,Replace car airbags with tensegrity robots,Tensishapes
,Tensegrity Bouncy Balls,Playground ball made out of tensegrity robots,Best Competitions
,Tensegrity Shopping Bag/Cart,Bag/Cart expands and contracts as necessary and move with you,Personal Assistant
,Tensegrity X Prize,Design challenge to get tensegrity robots on another planet,BEST Competitions
,Tensegrity Robot Science Olympiad,Create science olympiad competition with robots,BEST Competitions
,Houses for the Homeless,Tensegrity robot houses created for homeless people as well as the victims of disasters,Tensegrity housing
,Radiation Shielded Robots,Used for exploring dangerous areas (i.e. nuclear accidents),Intellisegrity
,Tensegrity Vacuum,Roomba for Tensegrity,Tensegri-Home
,Tensegrity Organizer,"Cleans up large objects - legos, clothes, etc.",Tensegri-Home
,Tensegrity Gardening Bot,"Rolls around garden - lays seeds, waters plants",Personal Assistant
,Tensegrity Halloween Costume,Animatronic robot costume,Tensishapes
,Tensegrity Furniture,"Transformable tensegrity robot furniture - bed, couch, etc.",Tensegri-Home
,Tensegrity Rat Trap,Robot traps rodents - like a mousetrap,Tensegri-Home
,Tensegrity Impossible Wheel,Tensegrity version of impossible wheel unicycle,Tensportation
,Tensegrity Tree-House,,Tensegri-Home
,Tensegrity Playground,Kids can climb all over tensegrity structure,Tensegri-Home
,Tensegrity Tent,Tent automatically sets itself up for you,Tensegri-Home
,Secure Tensioners,Use fasteners to prevent robot tensioners from disassembling,BEST Interaction
,3-point Payload Fixture,Fix payload using 3-points on tensegrity bars,BEST Interaction
,Tensegrity Satellites,Launch robots into space as satellites,BEST Interaction
,Tesegrity-O's,Tensegrity shaped cereal,Tensifood
,Tensegriy train,Train with cars come in tensegrity sturcture,Tensportation
,Tensegrity artist,Put markers on the end caps and program it to make artwork,Fun-segrity
,Tensegirty helicopter,Tensegrity shaped helicopter.,Tensportation
,Tensegrity Chair,The shape of the chair can be customized,Tensishapes
,Tensegrity wheels,Enable cars to overcome more terrain,Tensportation
,Tensegrity ferris wheel,More people can be carried,Tensportation
,Collapsable tensegrity chair,automatically set up in configurations for classroom or auditorium,Tensegri-Home
,Mini-Tensegrity robot,Can morph a car into a motorcycle into a  bus,Tensportation
,mini-Tensegrity robot theme park kit,allow kids to build tensegrity based rollercoaster,Fun-segrity
,Tensegrity machine,Able to lift a car up for mechanics,Personal Assistant
,Tensegrity aquarium,use glass panels for a unique aquarium shape,Tensishapes
,Tensegrity birdfeeder,put bird feed in it,Tensegri-Home
,Tensegrity gears,design the structure s to mesh like gears,Tensishapes
,Tensegirity bike,"low cost, light weight, can be folded",Tensportation
,Tensegrity prothesis,,Tensegrity Clinic
,Tensegrity morphing structures,,Tensishapes
,Tensegrity exoskeleton disabled,,Tensegrity Clinic
,Tensegrity garden,saves space; ensuring all plant get enough sunshine,Tensegri-Home
,Tensegrity trashcans,,Tensegri-Home
,Folding chair made of tensegrity structure,A chair that can be carried everywhere,Tensegri-Home
,Tensegrity BBQ grill,Tensegrity shock absorbers,Tensegri-Home
